"time"	"lp_volt"	"x_axis"	"z_axis"	"height"
"0.000"	"0.779"	"-0.010"	"0.005"	"134.025"
"1.000"	"0.780"	"0.004"	"-0.001"	"134.025"
"2.000"	"0.797"	"-0.008"	"0.010"	"134.025"
"3.000"	"0.780"	"-0.003"	"-0.004"	"134.817"
"4.000"	"0.780"	"-0.007"	"0.004"	"133.241"
"5.000"	"0.779"	"0.000"	"-0.002"	"134.817"
"6.000"	"0.774"	"0.002"	"-0.010"	"134.025"
"7.000"	"0.798"	"-0.001"	"-0.020"	"134.025"
"8.000"	"0.800"	"0.013"	"-0.008"	"134.025"
"9.000"	"0.780"	"0.009"	"0.018"	"134.817"
"10.000"	"0.780"	"-0.007"	"0.032"	"134.025"
"11.000"	"0.779"	"-0.016"	"0.009"	"134.025"
"12.000"	"0.795"	"-0.010"	"-0.014"	"134.025"
"13.000"	"0.798"	"0.011"	"-0.007"	"134.025"
"14.000"	"0.780"	"0.019"	"-0.021"	"134.817"
"15.000"	"0.780"	"-0.002"	"0.020"	"134.817"
"16.000"	"0.797"	"-0.012"	"-0.014"	"134.025"
"17.000"	"0.784"	"-0.035"	"0.030"	"134.817"
"18.000"	"0.780"	"-0.007"	"-0.007"	"134.025"
"19.000"	"0.786"	"0.003"	"0.008"	"134.025"
"20.000"	"0.782"	"0.034"	"-0.007"	"134.817"
"21.000"	"0.978"	"0.010"	"0.004"	"134.025"
"22.000"	"1.230"	"-0.001"	"0.002"	"134.025"
"23.000"	"1.453"	"-0.029"	"-0.005"	"134.025"
"24.000"	"1.702"	"-0.010"	"-0.003"	"13.444"
"25.000"	"1.946"	"0.002"	"0.015"	"13.307"
"26.000"	"2.189"	"0.021"	"0.014"	"13.208"
"27.000"	"2.507"	"0.023"	"-0.013"	"13.093"
"28.000"	"2.704"	"0.017"	"-0.023"	"12.752"
"29.000"	"2.970"	"0.003"	"-0.031"	"12.760"
"30.000"	"3.235"	"-0.017"	"0.017"	"12.719"
"31.000"	"3.577"	"-0.023"	"0.023"	"12.459"
"32.000"	"3.862"	"-0.005"	"0.036"	"11.640"
"33.000"	"4.141"	"0.005"	"0.011"	"12.459"
"34.000"	"4.315"	"-0.003"	"-0.011"	"12.325"
"35.000"	"4.586"	"-0.014"	"-0.014"	"12.194"
"36.000"	"4.722"	"-0.002"	"-0.029"	"12.073"
"37.000"	"4.772"	"0.013"	"0.004"	"11.846"
"38.000"	"4.805"	"0.007"	"0.010"	"11.767"
"39.000"	"4.818"	"-0.009"	"0.023"	"11.668"
"40.000"	"4.822"	"-0.007"	"-0.016"	"11.675"
"41.000"	"4.930"	"0.009"	"-0.031"	"11.710"
