location,mean_speed,max_speed,max_height,max_distance,volt
1,0.03864326,0.100923575,0,0.075328086,96
2,1.727765068,6.670376125,24.278216,68.62926729,93
3,1.927544753,9.124992756,21.981628,122.6679829,90
4,1.50090882,10.14760988,17.388452,171.0954779,87
5,2.625580047,10.28538301,23.293964,245.5849816,85
6,2.359089744,10.79336972,22.309712,307.6673327,82
7,1.298875343,4.596710375,15.091864,306.3189074,79
8,1.429149026,9.317861723,8.858268,265.134851,77
9,2.324810329,13.89940565,21.653544,228.0016477,74
10,2.779454052,10.54580757,22.637796,168.0902285,72
11,1.950169792,9.616135303,16.4042,80.07349338,67
