x-axis,time,z-axis,y-axis,height,average height
0.113,0,0.001,0.021,14.613,24.356
0.109,1,0.005,0.02,14.336,22.414
0.106,2,-0.003,0.017,17.364,20.405
0.102,3,-0.014,0.015,16.864,19.02
0.101,4,0.015,0.012,16.864,17.517
0.098,5,0.005,0.009,16.907,16.008
0.098,6,-0.004,0.011,14.13,16.467
0.098,7,0.013,0.012,17.037,16.426
0.098,8,0.01,0.016,17.624,16.36
0.095,9,0.001,0.02,16.907,16.513
0.094,10,-0.006,0.019,16.047,16.521
0.091,11,0.006,0.019,17.547,16.349
0.091,12,-0.009,0.019,17.199,17.032
0.087,13,-0.01,0.015,16.893,17.065
0.091,14,0.02,0.016,21.861,16.918
0.092,15,0.021,0.018,15.766,17.909
0.095,16,-0.008,0.014,23.921,17.853
0.091,17,-0.026,0.009,17.318,19.128
0.096,18,-0.011,0.007,17.096,19.152
0.094,19,-0.007,0.005,14.744,19.192
0.093,20,0.005,0.005,17.845,17.769
0.091,21,0.002,0.009,18.202,18.185
0.097,22,0.014,0.015,18.454,17.041
0.095,23,0.005,0.016,18.42,17.268
0.095,24,-0.005,0.016,18.153,17.533
0.095,25,0.022,0.016,18.071,18.215
0.104,26,-0.009,0.016,18.054,18.26
0.098,27,-0.005,0.015,18.169,18.23
0.098,28,-0.008,0.022,15.327,18.173
0.084,29,0.002,0.006,17.333,17.555
0.085,30,-0.004,0.005,16.047,17.391
0.077,31,0.02,0.005,15.291,16.986
0.077,32,-0.008,0.013,17.214,16.434
0.077,33,0.024,0.004,16.893,16.243
0.09,34,0.014,0.023,16.473,16.556
0.087,35,-0.002,0.013,16.878,16.384
0.094,36,0,0.014,17.11,16.55
0.098,37,-0.019,0.007,16.652,16.914
0.098,38,0.005,0.001,14.58,16.801
0.1,39,-0.002,-0.004,17.364,16.339
0.102,40,-0.007,0.005,17.125,16.517
0.092,41,-0.009,0.001,15.507,16.566
0.094,42,0.045,-0.006,13.05,16.246
0.094,43,-0.025,0.009,15.139,15.525
0.095,44,-0.016,0.013,15.667,15.637
0.095,45,-0.009,0.012,13.352,15.298
0.098,46,0.004,0.018,15.531,14.543
0.097,47,-0.041,0.03,15.519,14.548
0.09,48,0.026,0.023,15.704,15.042
0.083,49,-0.007,0.017,15.704,15.155
0.069,50,-0.034,0.02,16.034,15.162
0.054,51,0.028,0.013,15.867,15.698
0.055,52,0.019,0.006,15.691,15.766
0.061,53,-0.005,0.005,15.704,15.8
0.066,54,0.062,0.009,15.519,15.8
0.064,55,-0.026,0.023,16.473,15.763
0.078,56,0.005,0.027,15.495,15.851
0.077,57,-0.069,0.024,14.755,15.776
0.076,58,0.015,0.024,22.693,15.589
0.078,59,-0.005,0.023,23.949,16.987
0.094,60,0.003,0.012,23.921,18.673
0.094,61,0.005,0.013,23.921,20.162
0.089,62,0.009,0.017,20.803,21.848
0.091,63,-0.014,0.018,21.444,23.057
0.087,64,0.015,0.016,22.592,22.808
0.089,65,0.001,0.015,23.053,22.536
