x-axis,time,z-axis,y-axis,height,average height
0.084,0,-0.136,0.103,678.044,21.549
0.066,1,0.071,0.194,318.701,153.682
0.089,2,1.102,0.302,993.123,212.909
-0.028,3,-0.067,0.203,1351.1,407.015
-0.04,4,0.22,0.32,140.629,672.717
-0.039,5,-0.23,0.248,660.364,696.319
-0.06,6,-0.688,0.254,136.43,692.783
-0.157,7,0.368,0.162,54.636,656.329
0.098,8,0.099,0.262,37.397,468.632
0.027,9,0.297,0.09,23.027,205.891
0.065,10,-0.317,0.095,22.642,182.371
0.126,11,-0.497,-0.044,22.642,54.827
0.167,12,-0.299,-0.102,22.592,32.069
-0.001,13,-0.072,-0.12,22.617,25.66
0.06,14,-0.006,-0.074,22.567,22.704
0.006,15,0.084,-0.014,22.245,22.612
-0.034,16,0.081,0.018,19.551,22.532
-0.018,17,0.01,0.052,19.57,21.914
-0.007,18,-0.005,0.062,19.589,21.31
-0.005,19,0.003,0.064,19.57,20.704
-0.004,20,0.008,0.064,19.532,20.105
-0.003,21,0.002,0.065,22.051,19.563
-0.004,22,0.006,0.064,22.82,20.063
