"time"	"lp_volt"	"x_axis"	"z_axis"	"height"
"0.000"	"0.773"	"-0.016"	"-0.018"	"133.241"
"1.000"	"0.770"	"-0.012"	"-0.007"	"133.241"
"2.000"	"0.773"	"0.046"	"0.009"	"133.241"
"3.000"	"0.789"	"0.032"	"0.015"	"133.241"
"4.000"	"0.771"	"0.016"	"0.022"	"133.241"
"5.000"	"0.773"	"-0.016"	"-0.009"	"132.467"
"6.000"	"0.773"	"-0.009"	"-0.013"	"133.241"
"7.000"	"0.771"	"-0.004"	"-0.017"	"133.241"
"8.000"	"0.789"	"0.016"	"0.018"	"133.241"
"9.000"	"0.791"	"0.010"	"0.015"	"133.241"
"10.000"	"0.773"	"0.007"	"0.030"	"133.241"
"11.000"	"0.771"	"-0.007"	"-0.016"	"133.241"
"12.000"	"0.773"	"-0.001"	"-0.019"	"133.241"
"13.000"	"0.786"	"-0.003"	"-0.058"	"133.241"
"14.000"	"0.786"	"-0.003"	"-0.018"	"133.241"
"15.000"	"0.773"	"-0.015"	"-0.002"	"133.241"
"16.000"	"0.773"	"0.001"	"0.027"	"133.241"
"17.000"	"0.797"	"0.000"	"0.009"	"133.241"
"18.000"	"0.773"	"0.016"	"0.001"	"132.467"
"19.000"	"0.771"	"0.002"	"0.024"	"133.241"
"20.000"	"0.773"	"0.004"	"0.032"	"133.241"
"21.000"	"0.771"	"-0.020"	"0.021"	"134.025"
"22.000"	"0.782"	"-0.012"	"-0.009"	"133.241"
"23.000"	"0.881"	"-0.012"	"-0.007"	"133.241"
"24.000"	"1.127"	"0.011"	"0.011"	"132.467"
"25.000"	"1.362"	"0.010"	"0.006"	"133.241"
"26.000"	"1.648"	"0.007"	"-0.001"	"132.467"
"27.000"	"1.851"	"0.003"	"-0.030"	"132.467"
"28.000"	"2.101"	"-0.007"	"-0.024"	"132.467"
"29.000"	"2.358"	"0.003"	"-0.023"	"132.467"
"30.000"	"2.622"	"0.005"	"0.011"	"97.939"
"31.000"	"2.881"	"0.014"	"0.013"	"10.900"
"32.000"	"3.140"	"0.001"	"0.023"	"10.725"
"33.000"	"3.395"	"0.002"	"0.003"	"10.463"
"34.000"	"3.740"	"-0.005"	"0.017"	"10.252"
"35.000"	"3.994"	"0.001"	"0.005"	"9.267"
"36.000"	"4.178"	"-0.009"	"0.024"	"9.848"
"37.000"	"4.442"	"-0.010"	"0.018"	"9.592"
"38.000"	"4.679"	"-0.014"	"0.015"	"9.395"
"39.000"	"4.821"	"-0.010"	"0.004"	"9.232"
"40.000"	"4.785"	"0.006"	"-0.006"	"9.074"
"41.000"	"4.940"	"0.010"	"-0.009"	"8.325"
