x-axis,time,z-axis,y-axis,height,average height
0.078,0,0.243,0.027,102.424,24.389
0.055,1,-0.611,-0.128,860.898,39.734
0.043,2,-0.584,0.013,310.491,208.064
0.027,3,-0.286,0.096,94.216,265.041
0.025,4,0.618,0.123,860.898,278.745
-0.038,5,0.13,0.177,149.823,445.785
-0.067,6,-0.205,0.459,268.719,455.265
-0.077,7,0.169,0.43,223.187,336.829
-0.196,8,0.112,0.334,56.206,319.368
-0.176,9,0.387,0.427,33.5,311.766
-0.095,10,0.568,0.322,22.923,146.287
0.023,11,-0.191,0.184,22.491,120.907
0.08,12,-0.166,0.087,23.001,71.661
0.277,13,-0.102,0.13,22.467,31.624
0.257,14,-0.116,0,22.294,24.876
0.237,15,-0.034,0.046,22.592,22.635
0.17,16,0.052,0.056,22.516,22.569
0.132,17,0.022,0.034,22.516,22.574
0.071,18,0.002,0.001,13.565,22.477
0.07,19,-0.004,0.007,22.099,20.697
0.071,20,0.002,0.009,22.541,20.658
0.07,21,0.003,0.007,22.147,20.648
